channel_subscribers,title_word_count,title_char_count,title_upper_ratio,title_has_question,title_has_exclamation,publish_dayofweek,publish_hour,is_weekend,is_prime_time,view_count_log1p,like_count_log1p,comment_count_log1p,channel_subscribers_log1p,duration_seconds_log1p,daily_avg_views_log1p,views_per_subscriber,daily_views_per_subscriber,channel_efficiency,recency_score,prime_time_distance,daily_views_vs_category,title_trend_kw,title_hype_kw,title_kw_count,category_1,category_2,category_10,category_17,category_19,category_20,category_22,category_24,category_25,category_26,category_27,category_28,category_29,is_popular
1670000,4,18,0.16666666666666666,0,0,0,12,0,0,12.945430475694458,9.234056898593499,6.324358962381311,14.328334783195153,6.115892125483034,6.7360160851648505,0.2508483527854175,0.0005037115517779468,71369.81177191906,0.002004008016032064,7,0.9740831400628002,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
1220000,12,83,0.14457831325301204,1,0,0,12,0,0,12.625558995000592,9.506660032823548,3.871201010907891,14.014362236381235,4.007333185232471,6.322903243510715,0.24937274641578164,0.00045589167534877814,246526.38735177866,0.0018248175182481751,7,0.6440494787391118,1,0,4,False,False,False,False,False,False,False,False,False,False,True,False,False,1
5,5,50,0.3,0,0,6,12,1,0,3.091042453358316,0.6931471805599453,0.0,1.791759469228055,6.71901315438526,0.21848153820839844,3.5,0.04069767441860465,30.384615384615383,0.011494252873563218,7,0.00016652555679244854,1,0,5,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1170000,9,63,0.06349206349206349,1,0,4,20,0,1,11.723243114938564,7.7752758464868625,5.648974238161206,13.972515161474428,5.4638318050256105,5.856802572113173,0.10547512352553545,0.00029795232634332046,46692.275064683054,0.0028169014084507044,1,0.2452581715777032,1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,1
7680,7,36,0.3888888888888889,1,0,3,22,0,1,12.45434578711683,8.053887083618223,5.739792912179234,8.946505025998682,4.04305126783455,6.606369751210555,33.37599270928265,0.09618441702963298,2695.149779735683,0.0028735632183908046,3,0.5038282710002369,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1
3340000,10,81,0.04938271604938271,0,0,3,2,0,0,8.335431477880796,4.553876891600541,2.70805020110221,15.021481664354036,3.5553480614894135,4.13186700154519,0.0012479038179928688,1.835152673518925e-05,55151.24181070886,0.014492753623188406,17,0.04312303016705463,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0
2780,6,34,0.20588235294117646,1,0,4,13,0,0,12.05598785542605,7.898782356970309,4.61512051684126,7.930565854233965,4.127134385045092,5.373521994013301,61.893563466379,0.07717401928476185,3532.3870967741937,0.0012453300124533001,6,0.14636328862411246,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,0
237000,6,54,0.14814814814814814,0,0,1,13,0,0,12.13957487297909,8.050384453067021,6.040254711277414,12.37581963951765,6.694562058521095,5.236149659182842,0.789583166315754,0.0007887943719438102,30356.903870162296,0.000998003992015968,6,0.12748938692054923,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1670000,11,57,0.2631578947368421,1,0,1,11,0,0,13.075703542471365,9.434043766548907,6.905753276311464,14.328334783195153,7.083387847625295,7.729033881868505,0.28575132589740965,0.0013607205995114745,71369.81177191906,0.004739336492890996,8,2.6313770046405027,1,0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,1
3350000,7,52,0.038461538461538464,0,0,1,19,0,1,9.06207235530708,4.31748811353631,2.995732273553991,15.024471202308668,4.770684624465665,4.186916889529087,0.0025734320676322185,1.9349113290467807e-05,16646.636963335284,0.007462686567164179,0,0.04560332163561272,1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,0
392000,10,60,0.18333333333333332,0,0,4,2,0,0,11.237804174563305,7.426549072397305,6.230481447578482,12.879019669789754,6.884486652042782,5.977638841031602,0.19374185269935537,0.0010038437963697168,71745.08315334773,0.005154639175257732,17,0.2683572700980962,0,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1770000,8,39,0.1282051282051282,1,0,0,16,0,0,11.882258950434961,8.741296282225147,7.520776415062797,14.386490669521603,6.0330862217988015,6.9853380173717365,0.0817378069277927,0.0006099836337894977,311828.6140969163,0.007407407407407408,3,0.7362948205712042,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1
3950000,11,53,0.09433962264150944,0,0,3,16,0,0,13.763495950861666,9.862873869650832,7.411556287811163,15.18922639004183,4.02535169073515,7.033359150296006,0.24033259738415255,0.00028679307563741357,357858.11980267795,0.0011918951132300357,3,0.7969963632679535,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,1
4110000,10,69,0.057971014492753624,0,0,5,11,1,0,13.879254075670344,9.193499354780156,6.822197390620491,15.22893382978139,8.481358738407021,8.074429617837891,0.25932305125959826,0.0007810935278903561,255885.07173076924,0.003003003003003003,8,5.4820634182741745,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,1
101000,11,64,0.234375,0,0,5,22,1,1,12.664025833984798,9.4129546320379,8.0861025356691,11.522885696764481,7.240649694255466,9.26292017179396,3.1303254423223534,0.10434418141074511,167211.58163265305,0.03225806451612903,3,7.187104524191033,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,1
193000,14,77,0.16883116883116883,0,0,5,16,1,0,11.633788197931311,7.355641102974253,5.402677381872279,12.170450649220749,7.215975002651466,8.80071662871916,0.5846912710296838,0.03439360417821669,110266.95,0.05555555555555555,3,4.526862454999597,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,1
4110000,9,58,0.08620689655172414,0,0,5,12,1,0,14.277858708667873,9.781884730776879,7.605890001053122,15.22893382978139,8.490438454107418,9.315103506440186,0.38632521013985155,0.002701574896082878,255885.07173076924,0.006944444444444444,7,7.811769357023879,1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,1
879000,10,56,0.14285714285714285,0,0,3,17,0,1,13.975912798856479,9.260843354149289,7.847762537473608,13.686541314323094,8.068089626278244,8.999301708270938,1.3355866489344153,0.009210942406444243,1791481.7653061224,0.00684931506849315,2,5.521454362703074,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1520000,16,81,0.16049382716049382,0,0,4,13,0,0,11.621510775383669,7.675546002537848,6.063785208687608,14.23422155071698,7.917171988845776,8.731291513260528,0.07333482017446041,0.004074156676358912,130853.75466666666,0.05263157894736842,6,8.11319727212384,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,1
101000,12,64,0.21875,0,0,1,19,0,1,11.982860341852575,7.955775781534187,6.907755278982137,11.522885696764481,6.994849985833071,7.734796286479354,1.584023920555242,0.02262891315078917,167211.58163265305,0.014084507042253521,0,1.558652929992845,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1
9270000,10,54,0.18518518518518517,1,0,0,16,0,0,12.821015011788727,8.45553053102413,6.278521424165844,16.0422940454169,7.205635176410364,6.37541081756279,0.03990387919052005,6.323911123695729e-05,505645.06744525547,0.0015822784810126582,3,0.41243547308313155,1,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,1
300,11,60,0.16666666666666666,1,0,0,9,0,0,11.85946118021572,7.703007682479236,4.718498871295094,5.707110264748875,4.007333185232471,5.906342575776645,469.8172757475083,1.2171432014184151,1103.9414225941423,0.002583979328165375,10,0.4799749910782385,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,1
175,8,35,0.14285714285714285,0,0,5,22,1,1,11.627681702268417,6.9975959829819265,5.2832037287379885,5.170483995038151,3.4657359027997265,5.570033498144461,637.2670454545455,1.4854709684255136,1821.764705882353,0.002325581395348837,3,0.17829406521128252,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1060000,13,87,0.11494252873563218,1,0,2,13,0,0,10.095511884791469,6.175867270105761,0.0,13.87378040948403,7.919719760924575,4.0424433281234435,0.022861299187453596,5.2797457707745026e-05,11891.715009114847,0.002304147465437788,6,0.039374020095149204,1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,0
14500,10,72,0.041666666666666664,0,0,6,20,1,1,12.395944791412434,8.051022208190679,6.35088571671474,9.581972891547895,3.2188758248682006,5.524703588602436,16.675953382525343,0.01722722456872453,22480.37575757576,0.0010319917440660474,1,0.3272831930953412,1,1,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0
19500000,7,37,0.10810810810810811,0,0,6,20,1,1,13.18648118505439,8.427049641563272,7.254884810077338,16.785925074816024,5.786897381366708,7.545101071959655,0.027338870392878443,9.694634891091645e-05,112572.22434628064,0.0035335689045936395,1,1.3300150767994876,1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,1
14500,14,58,0.5,0,0,4,13,0,0,12.294367365349677,8.10258642539079,6.576469569048224,9.581972891547895,6.79794041297493,6.246568301490706,15.065236880215158,0.03553121905711122,5985.951417004048,0.002352941176470588,6,0.3513727775122888,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,1
14500,10,95,0.031578947368421054,0,0,0,22,0,1,8.684570300824369,4.465908118654584,1.9459101490553132,9.581972891547895,2.3978952727983707,1.8913893101768964,0.40755809944141785,0.00038815057089658844,22480.37575757576,0.0009514747859181732,3,0.007374093124405154,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,0
5660,7,51,0.11764705882352941,0,0,0,21,0,1,10.910751801744933,6.710523109452428,4.204692619390966,8.64135583403666,3.332204510175204,4.400981873048996,9.673379261614556,0.014225557737668464,11132.90625,0.0014684287812041115,2,0.05491898580770096,1,1,2,False,False,False,False,False,False,False,False,False,False,False,True,False,0
59700,9,50,0.08,1,0,1,17,0,1,11.124096210513489,7.639161171659173,6.398594934535208,10.997104049659168,7.3395376954076745,6.694503122319516,1.1353913669787776,0.013516563892604494,22025.602352941176,0.011764705882352941,2,0.9344268128087082,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,1
4620000,13,63,0.1746031746031746,0,1,0,12,0,0,13.784683241498653,9.468078568054892,7.880804344674901,15.345905479508115,6.79794041297493,8.501681628584032,0.20987917535082784,0.0010653765246234916,446608.77829099307,0.005050505050505051,7,5.6995763659347585,1,0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,1
1380000,14,81,0.13580246913580246,1,0,4,23,0,0,11.57037328137366,7.681099001536359,6.298949246855942,14.137594781770806,8.506334448081361,8.737310993293411,0.0767477704726301,0.004514574733684123,175357.74195854182,0.05555555555555555,4,4.248702269765142,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,1
3350000,17,83,0.1566265060240964,0,0,4,13,0,0,10.629972792706583,6.0014148779611505,4.605170185988092,15.024471202308668,5.814130531825066,6.007439211187323,0.012344772434396288,0.00012102718072937537,16646.636963335284,0.009708737864077669,6,0.28524518754935124,1,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,1
